,sicaklik,year,total_ghg,Tarih,tavg
0,14.440416666666668,1938,5.0,1938-01-01,14.262500000000001
1,14.525833333333333,1939,5.0,1939-01-01,14.674999999999999
2,14.405416666666667,1940,5.0,1940-01-01,13.516666666666666
3,14.350416666666666,1941,6.0,1941-01-01,13.720833333333333
4,14.154999999999998,1942,5.0,1942-01-01,13.045833333333333
5,14.155416666666664,1943,6.0,1943-01-01,13.458333333333334
6,14.10833333333333,1944,7.0,1944-01-01,14.295833333333334
7,14.074583333333333,1945,7.0,1945-01-01,13.916666666666666
8,14.086666666666668,1946,7.0,1946-01-01,14.908333333333333
9,14.032499999999999,1947,7.0,1947-01-01,14.525
10,13.95416666666667,1948,8.0,1948-01-01,13.479166666666666
11,13.785,1949,8.0,1949-01-01,12.983333333333334
12,13.855833333333333,1950,9.0,1950-01-01,14.225
13,13.93375,1951,10.0,1951-01-01,14.5
14,14.121666666666666,1952,10.0,1952-01-01,14.924999999999999
15,14.096666666666668,1953,13.0,1953-01-01,13.208333333333334
16,14.054583333333332,1954,13.0,1954-01-01,13.875
17,14.129166666666666,1955,14.0,1955-01-01,14.6625
18,13.960833333333332,1956,14.0,1956-01-01,13.225
19,13.909166666666668,1957,16.0,1957-01-01,14.008333333333333
20,13.989166666666666,1958,16.0,1958-01-01,14.279166666666667
21,14.005,1959,17.0,1959-01-01,13.141666666666666
22,14.020833333333334,1960,17.0,1960-01-01,14.383333333333333
23,13.98,1961,17.0,1961-01-01,14.091666666666667
24,13.946666666666667,1962,22.0,1962-01-01,14.591666666666667
25,14.055833333333334,1963,23.0,1963-01-01,14.299999999999999
26,14.008333333333331,1964,26.0,1964-01-01,13.4
27,13.908750000000001,1965,27.0,1965-01-01,13.666666666666666
28,14.129583333333333,1966,32.0,1966-01-01,15.433333333333332
29,14.123750000000001,1967,33.0,1967-01-01,13.950000000000001
30,14.0975,1968,36.0,1968-01-01,14.016666666666666
31,14.180000000000001,1969,39.0,1969-01-01,13.966666666666667
32,14.205000000000002,1970,43.0,1970-01-01,14.633333333333333
33,14.210833333333335,1971,48.0,1971-01-01,14.15
34,14.140833333333333,1972,54.0,1972-01-01,13.891666666666666
35,14.081666666666667,1973,59.0,1973-01-01,13.708333333333334
36,14.124166666666667,1974,61.0,1974-01-01,13.825000000000001
37,14.186666666666667,1975,65.0,1975-01-01,14.291666666666666
38,13.978333333333333,1976,73.0,1976-01-01,13.35
39,14.016666666666666,1977,81.0,1977-01-01,14.333333333333334
40,14.0275,1978,77.0,1978-01-01,14.125
41,14.105,1979,75.0,1979-01-01,14.741666666666667
42,14.034166666666668,1980,75.0,1980-01-01,13.924999999999999
43,14.0375,1981,79.0,1981-01-01,14.183333333333332
44,14.040000000000001,1982,86.0,1982-01-01,13.916666666666666
45,14.083333333333332,1983,90.0,1983-01-01,14.141666666666666
46,14.135833333333334,1984,95.0,1984-01-01,14.35
47,14.093333333333334,1985,106.0,1985-01-01,13.866666666666667
48,14.1775,1986,116.0,1986-01-01,14.191666666666665
49,14.10833333333333,1987,128.0,1987-01-01,13.641666666666666
50,14.113333333333333,1988,125.0,1988-01-01,14.174999999999999
51,14.0775,1989,138.0,1989-01-01,14.383333333333333
52,14.150833333333333,1990,188.0,1990-01-01,14.658333333333333
53,14.098333333333333,1991,191.0,1991-01-01,13.658333333333333
54,14.0825,1992,198.0,1992-01-01,13.758333333333333
55,14.046666666666667,1993,205.0,1993-01-01,13.783333333333333
56,14.135833333333332,1994,200.0,1994-01-01,15.241666666666667
57,14.208333333333332,1995,214.0,1995-01-01,14.591666666666667
58,14.204999999999998,1996,232.0,1996-01-01,14.158333333333333
59,14.203333333333333,1997,241.0,1997-01-01,13.625
60,14.274166666666668,1998,242.0,1998-01-01,14.883333333333333
61,14.386666666666667,1999,242.0,1999-01-01,15.508333333333333
62,14.405833333333334,2000,266.0,2000-01-01,14.85
63,14.595833333333335,2001,218.0,2001-01-01,15.558333333333335
64,14.725,2002,228.0,2002-01-01,15.049999999999999
65,14.774166666666664,2003,240.0,2003-01-01,14.275
66,14.714166666666667,2004,246.0,2004-01-01,14.641666666666666
67,14.710833333333335,2005,258.0,2005-01-01,14.558333333333332
68,14.765,2006,288.0,2006-01-01,14.700000000000001
69,15.036136363636365,2007,317.0,2007-01-01,16.336363636363636
70,15.153636363636362,2008,314.0,2008-01-01,16.058333333333334
71,15.20030303030303,2009,317.0,2009-01-01,15.975
72,15.364469696969696,2010,327.0,2010-01-01,16.491666666666667
73,15.288636363636362,2011,333.0,2011-01-01,14.799999999999999
74,15.40613636363636,2012,349.0,2012-01-01,16.224999999999998
75,15.601969696969698,2013,340.0,2013-01-01,16.23333333333333
76,15.32280303030303,2014,365.0,2014-01-01,11.85
77,15.575541125541125,2015,372.0,2015-01-01,17.085714285714285
78,15.862541125541124,2016,430.0,2016-01-01,17.57
79,15.821404761904763,2017,472.0,2017-01-01,15.924999999999999
80,15.9282987012987,2018,471.0,2018-01-01,17.12727272727273
81,16.007465367965366,2019,460.0,2019-01-01,16.766666666666666
82,15.98496536796537,2020,413.0,2020-01-01,16.266666666666666
83,15.964965367965368,2021,446.0,2021-01-01,14.6
