Yıl,year,total_ghg,Tarih,Gas,Emission
2009-01-01,2009,395.1771412461563,2009-01-01,CO2,316.4122994149277
2010-01-01,2010,398.79316469407036,2010-01-01,CO2,316.19304348374584
2011-01-01,2011,428.6175890813133,2011-01-01,CO2,342.0573260449551
2012-01-01,2012,448.1844581338876,2012-01-01,CO2,356.1072011951566
2013-01-01,2013,440.1953008341929,2013-01-01,CO2,347.33177144416567
2014-01-01,2014,459.4895079787363,2014-01-01,CO2,364.0282776867199
2015-01-01,2015,474.9675348442466,2015-01-01,CO2,384.92966029217456
2016-01-01,2016,501.10790644541123,2016-01-01,CO2,405.9502104496642
2017-01-01,2017,528.5659289023876,2017-01-01,CO2,430.900876640347
2018-01-01,2018,523.1080336552368,2018-01-01,CO2,422.0586199866384
2019-01-01,2019,508.72587347689836,2019-01-01,CO2,402.6922535200873
2020-01-01,2020,523.9908166553155,2020-01-01,CO2,412.9268720829102
2021-01-01,2021,564.3897498866788,2021-01-01,CO2,452.70278983758305
1990-01-01,1990,219.52615112605991,1990-01-01,CH4,42.487543474566614
1991-01-01,1991,226.79472134126274,1991-01-01,CH4,43.37742892811479
1992-01-01,1992,233.13248256892956,1992-01-01,CH4,43.28820223283203
1993-01-01,1993,240.77174649845836,1993-01-01,CH4,43.06554017424939
1994-01-01,1994,234.3878300250214,1994-01-01,CH4,42.78787839232121
1995-01-01,1995,248.2489088369333,1995-01-01,CH4,42.61347123683475
1996-01-01,1996,267.58138626218545,1996-01-01,CH4,42.96894643627465
1997-01-01,1997,278.8138405457876,1997-01-01,CH4,42.231314032083844
1998-01-01,1998,280.318958801664,1998-01-01,CH4,42.421874824410004
1999-01-01,1999,277.7767990658814,1999-01-01,CH4,43.78948275555424
2000-01-01,2000,298.9167547024636,2000-01-01,CH4,43.66728901167987
2001-01-01,2001,279.7401377805141,2001-01-01,CH4,42.90248576777105
2002-01-01,2002,285.6233651914037,2002-01-01,CH4,40.956329265599265
2003-01-01,2003,304.79478750038805,2003-01-01,CH4,42.95806164538476
2004-01-01,2004,314.4235699839391,2004-01-01,CH4,43.50123867895123
2005-01-01,2005,337.5749984925617,2005-01-01,CH4,45.17194504749806
2006-01-01,2006,358.0025346816609,2006-01-01,CH4,46.61015197379832
2007-01-01,2007,391.6970059043079,2007-01-01,CH4,49.08965205694441
2008-01-01,2008,388.49455629487613,2008-01-01,CH4,50.15879332951896
2009-01-01,2009,395.1771412461563,2009-01-01,CH4,49.88584167547843
2010-01-01,2010,398.79316469407036,2010-01-01,CH4,51.645279140513715
2011-01-01,2011,428.6175890813133,2011-01-01,CH4,54.165557723084845
2012-01-01,2012,448.1844581338876,2012-01-01,CH4,57.83001662687633
2013-01-01,2013,440.1953008341929,2013-01-01,CH4,56.66303304449767
2014-01-01,2014,459.4895079787363,2014-01-01,CH4,58.545058881423714
2015-01-01,2015,474.9675348442466,2015-01-01,CH4,52.784798667539704
2016-01-01,2016,501.10790644541123,2016-01-01,CH4,55.581990394982796
2017-01-01,2017,528.5659289023876,2017-01-01,CH4,56.81708647526977
2018-01-01,2018,523.1080336552368,2018-01-01,CH4,60.409227536973475
2019-01-01,2019,508.72587347689836,2019-01-01,CH4,63.21650153674443
2020-01-01,2020,523.9908166553155,2020-01-01,CH4,63.89375817846418
2021-01-01,2021,564.3897498866788,2021-01-01,CH4,64.02022956802685
1990-01-01,1990,219.52615112605991,1990-01-01,N2O,24.950822857999135
