,Tarih,Ömerli,Darlık,Elmalı,Terkos,Alibey,Büyükçekmece,Sazlıdere,Kazandere,Pabuçdere,Istrancalar,TotalBaraj,year,yillik_ort,Ömerli_Ort,Darlık_Ort,Elmalı_Ort,Terkos_Ort,Alibey_Ort,Büyükçekmece_Ort,Sazlıdere_Ort,Kazandere_Ort,Pabuçdere_Ort,Istrancalar_Ort
460,2002-01-26,1.0,1.0,0.5348958333333333,1.0,0.9509709164396801,0.9049636438100481,1.0000000000000002,0.9999917929292946,0.3521530940170948,0.9965864227250842,0.8739561703254536,2002,0.7576932023050743,0.8467095846295237,0.7715120272698311,0.5569483447488585,0.826347936812756,0.8432550686295633,0.8719174044607853,0.9224833737010398,0.7876823487049831,0.389968349172229,0.760107584921174
461,2002-01-27,1.0,1.0,0.5348958333333333,0.9921770699145099,0.9509709164396801,0.9068422148070067,1.0000000000000002,0.9999917929292946,0.3448933521367528,0.9965864227250842,0.8726357602285661,2002,0.7576932023050743,0.8467095846295237,0.7715120272698311,0.5569483447488585,0.826347936812756,0.8432550686295633,0.8719174044607853,0.9224833737010398,0.7876823487049831,0.389968349172229,0.760107584921174
462,2002-01-28,1.0,1.0,0.5338541666666666,0.9941328024358824,0.9509709164396801,0.9087207858039653,1.0000000000000002,0.9999917929292946,0.34023004444444505,0.9965864227250842,0.8724486931445018,2002,0.7576932023050743,0.8467095846295237,0.7715120272698311,0.5569483447488585,0.826347936812756,0.8432550686295633,0.8719174044607853,0.9224833737010398,0.7876823487049831,0.389968349172229,0.760107584921174
463,2002-01-29,1.0,1.0,0.5354166666666667,0.9960885349572549,0.9531265559558328,0.9124779277978824,1.0000000000000002,0.9999917929292946,0.3387574188034194,0.9965864227250842,0.8732445319835435,2002,0.7576932023050743,0.8467095846295237,0.7715120272698311,0.5569483447488585,0.826347936812756,0.8432550686295633,0.8719174044607853,0.9224833737010398,0.7876823487049831,0.389968349172229,0.760107584921174
464,2002-01-30,1.0,1.0,0.5354166666666667,0.9980442674786275,0.9531265559558328,0.9143564987948409,1.0000000000000002,0.9999917929292946,0.3387574188034194,0.9965864227250842,0.8736279623353767,2002,0.7576932023050743,0.8467095846295237,0.7715120272698311,0.5569483447488585,0.826347936812756,0.8432550686295633,0.8719174044607853,0.9224833737010398,0.7876823487049831,0.389968349172229,0.760107584921174
465,2002-01-31,1.0,1.0,0.5364583333333334,0.9980442674786275,0.9531265559558328,0.9143564987948409,1.0000000000000002,0.9999917929292946,0.3353914188034195,0.9965864227250842,0.8733955290020432,2002,0.7576932023050743,0.8467095846295237,0.7715120272698311,0.5569483447488585,0.826347936812756,0.8432550686295633,0.8719174044607853,0.9224833737010398,0.7876823487049831,0.389968349172229,0.760107584921174
466,2002-02-01,1.0,1.0,0.5375,1.0,0.9531265559558328,0.9162350697917996,1.0000000000000002,0.9999917929292946,0.3340239829059836,0.9965864227250842,0.8737463824307994,2002,0.7576932023050743,0.8467095846295237,0.7715120272698311,0.5569483447488585,0.826347936812756,0.8432550686295633,0.8719174044607853,0.9224833737010398,0.7876823487049831,0.389968349172229,0.760107584921174
467,2002-02-02,0.9974521075238666,0.9999118139534884,0.5380208333333333,1.0,0.9520487361977565,0.9162350697917996,1.0000000000000002,0.9999917929292946,0.3340239829059836,0.9965864227250842,0.8734270759360607,2002,0.7576932023050743,0.8467095846295237,0.7715120272698311,0.5569483447488585,0.826347936812756,0.8432550686295633,0.8719174044607853,0.9224833737010398,0.7876823487049831,0.389968349172229,0.760107584921174
468,2002-02-03,0.996602810031822,0.9997942325581395,0.5380208333333333,1.0,0.9509709164396801,0.9181136407887581,1.0000000000000002,0.9999917929292946,0.3326565470085477,0.9965864227250842,0.8732737195814659,2002,0.7576932023050743,0.8467095846295237,0.7715120272698311,0.5569483447488585,0.826347936812756,0.8432550686295633,0.8719174044607853,0.9224833737010398,0.7876823487049831,0.389968349172229,0.760107584921174
469,2002-02-04,0.9949042150477332,0.9997060465116279,0.5369791666666667,1.0,0.9498930966816038,0.9181136407887581,1.0000000000000002,0.9999917929292946,0.3309034256410263,0.9965864227250842,0.8727077806991794,2002,0.7576932023050743,0.8467095846295237,0.7715120272698311,0.5569483447488585,0.826347936812756,0.8432550686295633,0.8719174044607853,0.9224833737010398,0.7876823487049831,0.389968349172229,0.760107584921174
