,Yıl,Toplam,CO2,CH4,N2O,FGAZ,year,total_ghg,Tarih
0,1990-01-01,219.52615112605991,151.61498090581415,42.487543474566614,24.950822857999135,0.47280388768,1990,219.52615112605991,1990-01-01
1,1991-01-01,226.79472134126274,158.12631529011026,43.37742892811479,24.733991848363313,0.5569852746744,1991,226.79472134126274,1991-01-01
2,1992-01-01,233.13248256892956,164.06487588264298,43.28820223283203,25.25965001413612,0.5197544393184,1992,233.13248256892956,1992-01-01
3,1993-01-01,240.77174649845836,171.13887453457502,43.06554017424939,26.048287142827526,0.5190446468064001,1993,240.77174649845836,1993-01-01
4,1994-01-01,234.3878300250214,167.56564675137716,42.78787839232121,23.570421094156227,0.4638837871668,1994,234.3878300250214,1994-01-01
5,1995-01-01,248.2489088369333,181.3552569052867,42.61347123683475,23.870854443649474,0.4093262511624,1995,248.2489088369333,1995-01-01
6,1996-01-01,267.58138626218545,199.64669306308187,42.96894643627465,24.542459634748948,0.42328712808,1996,267.58138626218545,1996-01-01
7,1997-01-01,278.8138405457876,212.10819800482767,42.231314032083844,24.050524925180135,0.423803583696,1997,278.8138405457876,1997-01-01
8,1998-01-01,280.318958801664,212.13504312636493,42.421874824410004,25.338883251334664,0.42315759955439997,1998,280.318958801664,1998-01-01
9,1999-01-01,277.7767990658814,207.92791160053457,43.78948275555424,25.636443232108615,0.422961477684,1999,277.7767990658814,1999-01-01
10,2000-01-01,298.9167547024636,229.93665970433022,43.66728901167987,24.774565375440318,0.538240611013205,2000,298.9167547024636,2000-01-01
11,2001-01-01,279.7401377805141,213.58122897280316,42.90248576777105,22.600493560902486,0.6559294790374012,2001,279.7401377805141,2001-01-01
12,2002-01-01,285.6233651914037,221.22564235484705,40.956329265599265,22.594352538743365,0.8470410322140406,2002,285.6233651914037,2002-01-01
13,2003-01-01,304.79478750038805,236.76564906939714,42.95806164538476,24.006963673337452,1.064113112268726,2003,304.79478750038805,2003-01-01
14,2004-01-01,314.4235699839391,244.7685810713803,43.50123867895123,24.80205082154349,1.351699412064091,2004,314.4235699839391,2004-01-01
15,2005-01-01,337.5749984925617,264.870636313824,45.17194504749806,25.968599360273632,1.5638177709660386,2005,337.5749984925617,2005-01-01
16,2006-01-01,358.0025346816609,282.368322693864,46.61015197379832,27.247719010331853,1.7763410036667067,2006,358.0025346816609,2006-01-01
17,2007-01-01,391.6970059043079,313.6933629368511,49.08965205694441,26.757611058740274,2.1563798517720754,2007,391.6970059043079,2007-01-01
18,2008-01-01,388.49455629487613,310.6221322538341,50.15879332951896,25.40210201434475,2.311528697178376,2008,388.49455629487613,2008-01-01
19,2009-01-01,395.1771412461563,316.4122994149277,49.88584167547843,26.553588683472892,2.325411472277247,2009,395.1771412461563,2009-01-01
20,2010-01-01,398.79316469407036,316.19304348374584,51.645279140513715,27.447360328281082,3.507481741529711,2010,398.79316469407036,2010-01-01
21,2011-01-01,428.6175890813133,342.0573260449551,54.165557723084845,28.531906246241032,3.8627990670323484,2011,428.6175890813133,2011-01-01
22,2012-01-01,448.1844581338876,356.1072011951566,57.83001662687633,29.65037550092596,4.596864810928643,2012,448.1844581338876,2012-01-01
23,2013-01-01,440.1953008341929,347.33177144416567,56.66303304449767,31.460341631069834,4.740154714459747,2013,440.1953008341929,2013-01-01
24,2014-01-01,459.4895079787363,364.0282776867199,58.545058881423714,31.724948282446803,5.191223128145841,2014,459.4895079787363,2014-01-01
25,2015-01-01,474.9675348442466,384.92966029217456,52.784798667539704,32.26232877100373,4.990747113528594,2015,474.9675348442466,2015-01-01
26,2016-01-01,501.10790644541123,405.9502104496642,55.581990394982796,34.34781693022997,5.2278886705342735,2016,501.10790644541123,2016-01-01
27,2017-01-01,528.5659289023876,430.900876640347,56.81708647526977,35.44356167199653,5.4044041147741995,2017,528.5659289023876,2017-01-01
28,2018-01-01,523.1080336552368,422.0586199866384,60.409227536973475,35.455448026044316,5.18473810558052,2018,523.1080336552368,2018-01-01
29,2019-01-01,508.72587347689836,402.6922535200873,63.21650153674443,36.967398001490935,5.84972041857567,2019,508.72587347689836,2019-01-01
30,2020-01-01,523.9908166553155,412.9268720829102,63.89375817846418,40.49056987193688,6.679616522004234,2020,523.9908166553155,2020-01-01
31,2021-01-01,564.3897498866788,452.70278983758305,64.02022956802685,40.30609092024165,7.360639560827397,2021,564.3897498866788,2021-01-01
