trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index
2015-12-26 00:00:00.000,1,63,27.680555
2022-12-26 00:00:00.000,1,78,33.85162
2019-05-28 00:00:00.000,1,62,25.993008
2018-06-24 00:00:00.000,1,36,10.608392
2017-11-08 00:00:00.000,1,57,24.129824
2017-05-30 00:00:00.000,1,53,25.329861
2020-12-14 00:00:00.000,8,72,38.260418
2016-11-17 00:00:00.000,1,81,31.167248
2022-12-19 00:00:00.000,1,81,33.896599
2018-11-07 00:00:00.000,1,60,25.28223
2016-11-26 00:00:00.000,1,60,23.780487
2018-03-09 00:00:00.000,2,63,28.54007
2019-05-23 00:00:00.000,1,62,24.968531
2019-03-02 00:00:00.000,1,53,21.302084
2022-05-24 00:00:00.000,1,71,35.168976
2019-06-21 00:00:00.000,1,67,31.294737
2018-09-12 00:00:00.000,1,60,25.250872
2022-01-01 00:00:00.000,0,40,14.125
2022-01-29 00:00:00.000,2,58,26.694445
2018-04-01 00:00:00.000,1,49,20.979094
2020-11-20 00:00:00.000,4,71,29.15625
2015-10-06 00:00:00.000,1,69,35.590279
2016-08-31 00:00:00.000,1,80,28.527273
2017-02-16 00:00:00.000,2,56,28.163195
2016-07-15 00:00:00.000,2,72,35.698475
2021-08-17 00:00:00.000,1,65,30.993008
2019-05-19 00:00:00.000,1,45,11.063158
2017-12-01 00:00:00.000,1,61,26.700001
2021-11-27 00:00:00.000,4,56,29.038195
2018-12-29 00:00:00.000,1,63,30.236111
2021-01-14 00:00:00.000,6,65,33.489582
2022-04-10 00:00:00.000,1,45,16.18125
2018-03-29 00:00:00.000,6,58,30.792982
2021-04-03 00:00:00.000,1,17,6.7789474
2021-03-28 00:00:00.000,1,11,2.8881118
2018-05-21 00:00:00.000,1,53,20.65625
2020-02-08 00:00:00.000,15,44,28.372822
2018-12-08 00:00:00.000,1,58,24.541958
2022-06-11 00:00:00.000,1,60,25.003632
2016-06-22 00:00:00.000,1,69,34.07317
2015-11-29 00:00:00.000,1,53,20.461805
2018-06-03 00:00:00.000,1,45,12.320558
2016-05-04 00:00:00.000,4,65,36.729168
2018-06-27 00:00:00.000,1,58,26.207747
2021-06-18 00:00:00.000,1,78,36.354168
2019-07-19 00:00:00.000,1,49,25.71875
2018-12-21 00:00:00.000,1,69,27.083334
2019-07-15 00:00:00.000,2,31,16.5
2022-08-05 00:00:00.000,0,69,28.839403
2021-07-19 00:00:00.000,1,62,8.5524197
2017-03-30 00:00:00.000,1,59,27.649122
2022-09-02 00:00:00.000,1,72,31.279951
2020-12-18 00:00:00.000,4,72,33.364582
2015-10-01 00:00:00.000,1,65,29.05575
2018-11-09 00:00:00.000,1,67,29.020906
2015-11-19 00:00:00.000,1,80,35.685314
2022-10-18 00:00:00.000,1,83,30.554424
2018-01-11 00:00:00.000,1,71,29.713287
2022-06-16 00:00:00.000,1,72,29.539791
2021-08-23 00:00:00.000,1,62,28.673611
2020-11-09 00:00:00.000,1,63,24.927084
2019-07-05 00:00:00.000,1,56,27.142361
2016-10-14 00:00:00.000,1,72,31.344948
2018-12-06 00:00:00.000,4,71,38.792454
2017-12-02 00:00:00.000,1,57,23.883802
2017-01-03 00:00:00.000,2,62,23.675959
2022-04-01 00:00:00.000,1,72,31.998791
2018-08-02 00:00:00.000,1,56,25.519163
2015-08-29 00:00:00.000,1,65,33.506943
2015-08-23 00:00:00.000,2,36,17.381945
2022-12-08 00:00:00.000,1,81,35.280811
2018-05-13 00:00:00.000,1,53,27.097561
2019-05-27 00:00:00.000,1,60,24.873684
2017-10-14 00:00:00.000,1,54,27.979094
2017-07-22 00:00:00.000,1,49,24.712687
2020-11-02 00:00:00.000,1,65,26.611111
2022-10-20 00:00:00.000,1,80,30.968191
2018-11-06 00:00:00.000,1,60,26.277779
2015-12-05 00:00:00.000,1,72,31.027779
2015-11-18 00:00:00.000,1,74,31.578398
2022-01-14 00:00:00.000,4,63,27.190971
2022-04-22 00:00:00.000,1,71,27.261267
2020-03-22 00:00:00.000,1,87,4.9444447
