zaman,year,month,road_type,count,mean,std,min,25%,50%,75%,max
aksam,2021,4,RAYLI,4936.0,3041.518233387358,5473.087869570181,1.0,120.0,571.0,3336.75,36651.0
aksam,2021,5,DENİZ,8065.0,112.14457532548047,249.27462012455337,1.0,8.0,32.0,98.0,3858.0
aksam,2021,5,OTOYOL,191967.0,88.92950871764418,714.1625610916482,1.0,7.0,22.0,69.0,51651.0
aksam,2021,5,RAYLI,4560.0,2335.8179824561403,4378.023621677291,1.0,141.0,557.0,2474.75,35037.0
aksam,2021,6,DENİZ,9259.0,222.34571768009505,380.55888230757023,1.0,23.0,77.0,268.0,3363.0
aksam,2021,6,OTOYOL,202872.0,141.59894909105248,1029.269096512689,1.0,12.0,39.0,114.0,52721.0
aksam,2021,6,RAYLI,5757.0,3629.1657113079727,6039.556647317957,1.0,146.0,579.0,4423.0,35478.0
aksam,2021,7,DENİZ,10342.0,291.0676851672791,445.2791749278701,1.0,35.0,107.0,363.75,3732.0
aksam,2021,7,OTOYOL,205965.0,147.22171728206249,973.1113983806786,1.0,14.0,44.0,128.0,54301.0
aksam,2021,7,RAYLI,6291.0,3564.5987919249724,5824.367320749886,1.0,169.0,585.0,4693.0,38036.0
aksam,2021,8,DENİZ,10477.0,273.2413858929083,425.38684307292925,1.0,31.0,100.0,353.0,3523.0
aksam,2021,8,OTOYOL,210322.0,152.51988855183956,1053.0558340735247,1.0,14.0,44.0,127.0,55133.0
aksam,2021,8,RAYLI,6132.0,3856.304631441618,6304.065359324247,1.0,173.75,636.0,4903.25,38860.0
aksam,2021,9,DENİZ,9767.0,267.39008907545815,450.30513783161405,1.0,28.0,96.0,329.5,4284.0
aksam,2021,9,OTOYOL,210713.0,176.2766416879832,1213.1525979098194,1.0,14.0,49.0,145.0,64865.0
aksam,2021,9,RAYLI,6067.0,4504.344816218889,7408.425109482436,1.0,237.0,756.0,5413.0,45920.0
aksam,2021,10,DENİZ,9745.0,290.780708055413,522.6031362423853,1.0,26.0,97.0,352.0,5178.0
aksam,2021,10,OTOYOL,215733.0,192.10006350442444,1350.8102200093656,1.0,15.0,51.0,154.0,70838.0
aksam,2021,10,RAYLI,6292.0,5131.253973299428,8689.102392932986,1.0,249.5,944.5,5734.75,52236.0
aksam,2021,11,DENİZ,8982.0,267.0042306835894,508.22522813402765,1.0,22.0,82.0,303.75,4979.0
aksam,2021,11,OTOYOL,211970.0,193.67999716941077,1404.3573897098204,1.0,14.0,50.0,152.0,71807.0
aksam,2021,11,RAYLI,6041.0,5346.484853501076,9136.2788438398,1.0,244.0,1008.0,5770.0,58949.0
aksam,2021,12,DENİZ,9915.0,230.876046394352,459.50417562618054,1.0,19.0,71.0,262.0,4917.0
aksam,2021,12,OTOYOL,218952.0,197.66270689466185,1388.6890246854562,1.0,14.0,51.0,158.0,71608.0
aksam,2021,12,RAYLI,6275.0,5417.017370517929,9225.380126288288,1.0,220.5,1036.0,5737.0,55544.0
aksam,2022,1,DENİZ,10638.0,179.17493889828916,354.2429266611708,1.0,15.0,54.0,188.0,3867.0
aksam,2022,1,OTOYOL,211253.0,171.21647029864664,1169.1924498110302,1.0,12.0,44.0,136.0,63126.0
aksam,2022,1,RAYLI,6254.0,4517.216341541413,7555.043839513192,1.0,181.0,906.5,5028.0,48107.0
aksam,2022,2,DENİZ,9898.0,223.07991513437057,444.64403635389425,1.0,17.0,67.0,232.0,4867.0
aksam,2022,2,OTOYOL,196712.0,192.81956870958558,1271.3089673723632,1.0,14.0,50.0,157.0,64950.0
aksam,2022,2,RAYLI,5672.0,5222.485895627645,8716.735221213668,1.0,211.0,1066.5,5670.25,51467.0
aksam,2022,3,DENİZ,10814.0,200.50749029036433,436.6199877208547,1.0,15.0,57.0,195.0,5066.0
aksam,2022,3,OTOYOL,217536.0,203.4154852530156,1355.5349235535218,1.0,14.0,50.0,163.0,71223.0
aksam,2022,3,RAYLI,6231.0,5538.321136254212,9397.96059766425,1.0,208.5,1201.0,5878.5,57731.0
aksam,2022,4,DENİZ,10724.0,226.266318537859,471.32281493418446,1.0,17.0,64.0,225.25,5519.0
aksam,2022,4,OTOYOL,211154.0,195.79492218949204,1361.1422591803457,1.0,13.0,48.0,158.0,76761.0
aksam,2022,4,RAYLI,6089.0,5283.818525209394,9472.84880588156,1.0,205.0,1010.0,5205.0,62259.0
aksam,2022,5,DENİZ,11472.0,305.0976290097629,571.7835131408604,1.0,26.0,90.0,331.0,5331.0
aksam,2022,5,OTOYOL,215764.0,211.36532971209283,1341.858399515106,1.0,17.0,58.0,182.0,70117.0
aksam,2022,5,RAYLI,6236.0,5773.779345734445,9613.14360951494,1.0,257.0,1340.0,6451.5,58299.0
aksam,2022,6,DENİZ,11203.0,268.4492546639293,511.8249659228687,1.0,24.0,87.0,293.0,5120.0
aksam,2022,6,OTOYOL,212538.0,201.7093649135684,1353.1208867611376,1.0,15.0,53.0,168.0,69681.0
aksam,2022,6,RAYLI,6141.0,5498.223579221625,9425.791918553097,1.0,238.0,1139.0,5840.0,59001.0
aksam,2022,7,DENİZ,11635.0,294.05620971207566,511.81378763126264,1.0,29.0,96.0,329.0,4826.0
aksam,2022,7,OTOYOL,210648.0,174.22342486043067,1101.43776040816,1.0,16.0,51.0,153.0,64069.0
aksam,2022,7,RAYLI,6361.0,4513.735890583242,7578.926899263919,1.0,224.0,925.0,5485.0,53916.0
aksam,2022,8,DENİZ,11644.0,266.3702335967022,465.8324350067675,1.0,26.0,93.0,297.0,4233.0
aksam,2022,8,OTOYOL,217253.0,177.7539366544996,1204.7869167398856,1.0,15.0,50.0,152.0,64967.0
aksam,2022,8,RAYLI,6359.0,4885.626670860198,8299.394195343833,1.0,225.0,963.0,5606.0,56004.0
aksam,2022,9,DENİZ,10880.0,263.5650735294118,483.4013066085013,1.0,26.0,92.0,300.0,5268.0
aksam,2022,9,OTOYOL,215316.0,202.46091790670457,1352.1575034601358,1.0,16.0,55.0,171.0,73803.0
aksam,2022,9,RAYLI,6160.0,5660.499350649351,9587.845352273189,1.0,252.0,1179.0,6232.0,63018.0
aksam,2022,10,DENİZ,11247.0,278.86005156930736,587.4872131846345,1.0,22.0,82.0,283.5,8351.0
aksam,2022,10,OTOYOL,220885.0,226.15403943228378,1567.5143278297464,1.0,17.0,59.0,188.0,82000.0
aksam,2022,10,RAYLI,6379.0,6532.950305690547,11182.744272759493,1.0,260.0,1492.0,6618.5,72422.0
aksam,2022,11,DENİZ,12729.0,209.70382590934088,487.21424649212577,1.0,14.0,54.0,179.0,5765.0
aksam,2022,11,OTOYOL,216346.0,220.39560703687613,1584.625085715596,1.0,16.0,55.0,180.0,82027.0
aksam,2022,11,RAYLI,6445.0,6123.3208688906125,10878.917526704163,1.0,222.0,1134.0,5913.0,68352.0
aksam,2022,12,DENİZ,13589.0,192.31488704098905,462.1793892759933,1.0,12.0,46.0,158.0,5725.0
aksam,2022,12,OTOYOL,224171.0,220.8464788041272,1571.8371560594785,1.0,15.0,55.0,181.0,81658.0
aksam,2022,12,RAYLI,6751.0,6082.787290771737,10888.794303112205,1.0,208.0,1010.0,5846.5,67866.0
aksam,2023,1,DENİZ,14393.0,182.79420551657054,345.9201473790634,1.0,14.0,52.0,177.0,3587.0
aksam,2023,1,OTOYOL,222409.0,204.4263586455584,1464.7214683817156,1.0,14.0,49.0,168.0,80276.0
aksam,2023,1,RAYLI,7121.0,5436.510602443477,10103.056544812342,1.0,177.0,955.0,4421.0,70322.0
aksam,2023,2,DENİZ,12478.0,159.98613559865362,304.2119884661706,1.0,13.0,46.0,154.0,3109.0
aksam,2023,2,OTOYOL,199391.0,186.98041536478578,1315.0858816765444,1.0,13.0,47.0,153.0,74059.0
aksam,2023,2,RAYLI,6497.0,4886.934431275973,9005.678689007342,1.0,176.0,896.0,4085.0,62701.0
aksam,2023,3,DENİZ,14023.0,160.06524994651645,307.30972364316,1.0,13.0,47.0,152.0,3415.0
